,국가별수출입 실적,국가명,수출건수,수출금액
3076,2020.01,사이프러스,                 103,"               4,584"
3077,2020.02,사이프러스,                 138,"               1,560"
3078,2020.03,사이프러스,                  99,"               2,218"
3079,2020.04,사이프러스,                  62,"               1,885"
3080,2020.05,사이프러스,                  99,"               1,990"
3081,2020.06,사이프러스,                 114,"               2,076"
3082,2020.07,사이프러스,                 130,"               3,808"
3083,2020.08,사이프러스,                 132,"               3,144"
3084,2020.09,사이프러스,                 148,"               2,931"
3085,2020.10,사이프러스,                 104,"               1,762"
3086,2020.11,사이프러스,                 134,"               2,517"
3087,2020.12,사이프러스,                 128,"               2,165"
3088,2021.01,사이프러스,                 114,"               2,719"
3089,2021.02,사이프러스,                 128,"             183,864"
3090,2021.03,사이프러스,                 126,"               2,518"
3091,2021.04,사이프러스,                 130,"               3,235"
3092,2021.05,사이프러스,                 118,"               2,650"
3093,2021.06,사이프러스,                 142,"               2,818"
3094,2021.07,사이프러스,                 149,"               3,961"
3095,2021.08,사이프러스,                 123,"               2,574"
3096,2021.09,사이프러스,                 160,"               2,506"
3097,2021.10,사이프러스,                 146,"               2,068"
3098,2021.11,사이프러스,                 161,"               3,206"
3099,2021.12,사이프러스,                 155,"               2,507"
3100,2022.01,사이프러스,                 113,"               3,021"
3101,2022.02,사이프러스,                 151,"               5,555"
3102,2022.03,사이프러스,                 162,"              83,973"
3103,2022.04,사이프러스,                 158,"               3,375"
3104,2022.05,사이프러스,                 141,"              84,393"
3105,2022.06,사이프러스,                 190,"               3,744"
3106,2022.07,사이프러스,                 146,"               3,197"
3107,2020.01,산마리노,                   2,                  24
3108,2020.02,산마리노,                   0,                   0
3109,2020.03,산마리노,                   1,                   0
3110,2020.04,산마리노,                   0,                   0
3111,2020.05,산마리노,                   0,                   0
3112,2020.06,산마리노,                   4,                  30
3113,2020.07,산마리노,                   3,                  28
3114,2020.08,산마리노,                   1,                   3
3115,2020.09,산마리노,                   1,                   5
3116,2020.10,산마리노,                   1,                  17
3117,2020.11,산마리노,                   1,                   2
3118,2020.12,산마리노,                   1,                   2
3119,2021.01,산마리노,                   2,                  18
3120,2021.02,산마리노,                   0,                   0
3121,2021.03,산마리노,                   0,                   0
3122,2021.04,산마리노,                   3,                  20
3123,2021.05,산마리노,                   2,                  24
3124,2021.06,산마리노,                   5,                  36
3125,2021.07,산마리노,                   4,                  41
